etid,name,hv,cat,desc,datasheet
,74LS28,0,74 LS Series Logic ,QUAD 2-INPUT NOR BUFFER,
,74LS30,0,74 LS Series Logic ,8-INPUT NAND GATE,
,74LS31,0,74 LS Series Logic ,HEX DELAY ELEMENTS,
,74LS32,0,74 LS Series Logic ,QUAD 2-INPUT OR GATE,
,74LS1G32,0,74 LS Series Logic ,SINGLE 2-INPUT OR GATE,
,74LS33,0,74 LS Series Logic ,QUAD 2-INPUT NOR BUFFER WITH OPEN COLLECTOR OUTPUTS,
,74LS34,0,74 LS Series Logic ,HEX NONINVERTERS,
,74LS35,0,74 LS Series Logic ,HEX NONINVERTERS WITH OPEN-COLLECTOR OUTPUTS,
,74LS36,0,74 LS Series Logic ,QUAD 2-INPUT NOR GATE (DIFFERENT PINOUT THAN 7402),
,74LS37,0,74 LS Series Logic ,QUAD 2-INPUT NAND BUFFER,
,74LS38,0,74 LS Series Logic ,QUAD 2-INPUT NAND BUFFER WITH OPEN COLLECTOR OUTPUTS,
,74LS39,0,74 LS Series Logic ,"QUAD 2-INPUT NAND BUFFER WITH OPEN COLLECTOR OUTPUTS, INPUT AND OUTPUT TERMINALS FLIPPED, OTHERWISE FUNCTIONALLY IDENTICAL TO 7438",
,74LS40,0,74 LS Series Logic ,DUAL 4-INPUT NAND BUFFER,
,74LS41,0,74 LS Series Logic ,BCD TO DECIMAL DECODER/NIXIE TUBE DRIVER,
,74LS42,0,74 LS Series Logic ,BCD TO DECIMAL DECODER,
,74LS43,0,74 LS Series Logic ,EXCESS-3 TO DECIMAL DECODER,
,74LS44,0,74 LS Series Logic ,EXCESS-3-GRAY CODE TO DECIMAL DECODER,
,74LS45,0,74 LS Series Logic ,BCD TO DECIMAL DECODER/DRIVER,
,74LS46,0,74 LS Series Logic ,BCD TO 7-SEGMENT DISPLAY DECODER/DRIVER WITH 30 V OPEN COLLECTOR OUTPUTS,
,74LS47,0,74 LS Series Logic ,BCD TO 7-SEGMENT DECODER/DRIVER WITH 15 V OPEN COLLECTOR OUTPUTS,
,74LS48,0,74 LS Series Logic ,BCD TO 7-SEGMENT DECODER/DRIVER WITH INTERNAL PULLUPS,
,74LS49,0,74 LS Series Logic ,BCD TO 7-SEGMENT DECODER/DRIVER WITH OPEN COLLECTOR OUTPUTS,
,74LS50,0,74 LS Series Logic ,DUAL 2-WIDE 2-INPUT AND-OR-INVERT GATE (ONE GATE EXPANDABLE),
,74LS51,0,74 LS Series Logic ,DUAL 2-WIDE 2-INPUT AND-OR-INVERT GATE,
,74LS52,0,74 LS Series Logic ,EXPANDABLE 4-WIDE 2-INPUT AND-OR GATE,
